"year","state_code","long_name","name","variable","deflactor","value","valReal","poblacion","percap"
1998,13,"Hidalgo","HGO","r33_fis",356,0.48188,738.773138540716,2359558,313.098105043705
1998,13,"Hidalgo","HGO","r33_fortaestados",0,0.48188,0,2359558,0
1998,13,"Hidalgo","HGO","r33_infraeduca",56.9,0.48188,118.079189839794,2359558,50.0429274634462
1998,13,"Hidalgo","HGO","r33_segurid",0,0.48188,0,2359558,0
1998,13,"Hidalgo","HGO","r33_faeb",2665,0.48188,5530.42251182867,2359558,2343.83834253223
1998,13,"Hidalgo","HGO","r33_fortamun",156,0.48188,323.732049472898,2359558,137.200293221399
1998,13,"Hidalgo","HGO","r33_alimenticio",52.9,0.48188,109.778368058438,2359558,46.5249712270001
1998,13,"Hidalgo","HGO","r33_edutecnologica",0,0.48188,0,2359558,0
1998,13,"Hidalgo","HGO","r33_edusuperior",19.2,0.48188,39.8439445505105,2359558,16.8861899349414
1998,13,"Hidalgo","HGO","r33_total",3690.7,0.48188,7658.96073711297,2359558,3245.93027046293
1998,13,"Hidalgo","HGO","r33_multiple",129,0.48188,267.701502448742,2359558,113.454088625388
1998,13,"Hidalgo","HGO","r33_fism",311.9,0.48188,647.256578401262,2359558,274.312637536887
1998,13,"Hidalgo","HGO","r33_fise",44.1,0.48188,91.5165601394538,2359558,38.7854675068186
1998,13,"Hidalgo","HGO","r33_fasa",384.7,0.48188,798.331534821947,2359558,338.339441040206
1998,14,"Jalisco","JAL","r33_segurid",0,0.48188,0,6401411,0
1998,14,"Jalisco","JAL","r33_fise",50,0.48188,103.760272266954,6401411,16.2089689705839
1998,14,"Jalisco","JAL","r33_edutecnologica",0,0.48188,0,6401411,0
1998,14,"Jalisco","JAL","r33_alimenticio",48.2,0.48188,100.024902465344,6401411,15.6254460876429
1998,14,"Jalisco","JAL","r33_infraeduca",108.7,0.48188,225.574831908359,6401411,35.2382985420494
1998,14,"Jalisco","JAL","r33_fasa",835,0.48188,1732.79654685814,6401411,270.689781808751
1998,14,"Jalisco","JAL","r33_fortaestados",0,0.48188,0,6401411,0
1998,14,"Jalisco","JAL","r33_fortamun",442.5,0.48188,918.278409562547,6401411,143.449375389667
1998,14,"Jalisco","JAL","r33_fism",341.6,0.48188,708.890180127833,6401411,110.739676007029
1998,14,"Jalisco","JAL","r33_total",6034.9,0.48188,12523.6573420769,6401411,1956.39013681153
1998,14,"Jalisco","JAL","r33_edusuperior",29.7,0.48188,61.6336017265709,6401411,9.62812756852683
1998,14,"Jalisco","JAL","r33_faeb",4179.2,0.48188,8672.69859716112,6401411,1354.81046243728
1998,14,"Jalisco","JAL","r33_multiple",186.6,0.48188,387.233336100274,6401411,60.4918721982191
1998,14,"Jalisco","JAL","r33_fis",391.6,0.48188,812.650452394787,6401411,126.948644977613
1998,15,"México","MEX","r33_multiple",208.3,0.48188,432.265294264132,12424077,34.7925479103302
1998,15,"México","MEX","r33_segurid",0,0.48188,0,12424077,0
1998,15,"México","MEX","r33_fis",696.9,0.48188,1446.21067485681,12424077,116.403872485402
1998,15,"México","MEX","r33_edutecnologica",0,0.48188,0,12424077,0
1998,15,"México","MEX","r33_total",10244.2,0.48188,21258.8196231427,12424077,1711.09850841577
1998,15,"México","MEX","r33_edusuperior",15,0.48188,31.1280816800863,12424077,2.50546432383559
1998,15,"México","MEX","r33_fasa",1534.9,0.48188,3185.23283805097,12424077,256.37581271035
1998,15,"México","MEX","r33_faeb",6939.5,0.48188,14400.8881879306,12424077,1159.11131168381
1998,15,"México","MEX","r33_alimenticio",71.9,0.48188,149.20727151988,12424077,12.0095256589186
1998,15,"México","MEX","r33_fortaestados",0,0.48188,0,12424077,0
1998,15,"México","MEX","r33_fism",596,0.48188,1236.8224454221,12424077,99.5504491337342
1998,15,"México","MEX","r33_fise",100.9,0.48188,209.388229434714,12424077,16.8534233516674
1998,15,"México","MEX","r33_fortamun",864.6,0.48188,1794.22262804018,12424077,144.414963625884
1998,15,"México","MEX","r33_infraeduca",121.4,0.48188,251.929941064165,12424077,20.2775579275761
1998,16,"Michoacán de Ocampo","MICH","r33_faeb",4058.3,0.48188,8421.80625881962,4160121,2024.41377518097
1998,16,"Michoacán de Ocampo","MICH","r33_fortaestados",0,0.48188,0,4160121,0
1998,16,"Michoacán de Ocampo","MICH","r33_total",5487.2,0.48188,11387.0673196646,4160121,2737.19618243427
1998,16,"Michoacán de Ocampo","MICH","r33_infraeduca",70.8,0.48188,146.924545530007,4160121,35.317373107659
1998,16,"Michoacán de Ocampo","MICH","r33_segurid",0,0.48188,0,4160121,0
1998,16,"Michoacán de Ocampo","MICH","r33_multiple",120,0.48188,249.024653440691,4160121,59.859954419761
1998,16,"Michoacán de Ocampo","MICH","r33_edutecnologica",0,0.48188,0,4160121,0
1998,16,"Michoacán de Ocampo","MICH","r33_fis",522.6,0.48188,1084.50236573421,4160121,260.690101498059
1998,16,"Michoacán de Ocampo","MICH","r33_fism",450.8,0.48188,935.502614758861,4160121,224.873895436902
